POS,freq,psl5,psl2,psl5/psl2,inconclusive
1647,583,476,105,2,0
1875,138,0,3,0,135
1993,144,18,126,0,0
2002,62,19,43,0,0
2256,30,28,1,1,0
2258,25,23,0,2,0
2271,30,28,1,1,0
2287,26,25,1,0,0
2290,18,17,1,0,0
4716,971,491,463,17,0
4717,978,486,474,18,0
5036,269,187,81,1,0
5223,1040,460,563,17,0
5608,1364,291,1057,16,0
5622,273,222,37,14,0
5828,2,2,0,0,0
11258,416,136,276,4,0
11286,12,12,0,0,0
11311,8,8,0,0,0
11551,24,24,0,0,0
12050,121,81,40,0,0
12068,111,73,38,0,0
12074,199,60,139,0,0
12110,76,70,6,0,0
14043,2108,695,1353,60,0
15005,503,274,217,12,0
16971,824,71,748,5,0
16977,828,78,742,8,0
17107,49,47,2,0,0
17151,987,307,663,17,0
17352,1548,758,744,46,0
17374,1648,827,775,46,0
17411,1624,818,759,47,0
17421,1585,831,704,50,0
17456,1517,795,693,29,0
17461,1535,813,688,34,0
17898,1100,357,716,27,0
17955,1280,471,776,33,0
18120,1356,655,676,25,0
18141,1324,680,622,22,0
18279,705,415,277,13,0
18291,623,361,253,9,0
18312,488,290,190,8,0
18664,1095,556,508,31,0
18702,1190,605,553,32,0
18805,1316,642,642,32,0
18882,1270,629,612,29,0
18954,1280,629,618,33,0
18989,1270,625,613,32,0
19084,1322,708,579,35,0
19108,1321,706,587,28,0
19119,1233,712,494,27,0
19132,1317,695,584,38,0
19143,1366,750,584,32,0
19153,1355,723,594,38,0
19177,1303,682,575,46,0
19180,1291,683,573,35,0
19248,1189,576,584,29,0
19249,1189,581,578,30,0
19251,1196,579,581,36,0
19252,1187,554,603,30,0
19374,1377,683,665,29,0
19376,1395,701,667,27,0
19413,1511,758,721,32,0
19445,1489,754,705,30,0
19455,1478,765,676,37,0
19638,1521,799,696,26,0
19719,1448,753,651,44,0
19746,1493,772,671,50,0
19897,1519,768,709,42,0
19934,1447,705,703,39,0
20081,1671,784,843,44,0
20112,1698,831,817,50,0
20160,1707,834,824,49,0
20223,1586,768,780,38,0
20307,1652,822,786,44,0
20444,1318,701,578,39,0
20578,793,713,79,1,0
20642,1203,622,549,32,0
20659,1296,640,623,33,0
20779,1438,730,664,44,0
20785,1472,752,677,43,0
20800,1457,722,700,35,0
20896,1492,739,702,51,0
20969,1380,719,618,43,0
20989,1289,707,543,39,0
