POS,frequency of heterozygosity,total reads,coverage,,
5828,0,0,0,,961
11311,0,0,0,,155
383600,0,0,0,,
513763,0,0,0,,
537889,0,0,0,,
537892,0,0,0,,
537897,0,0,0,,
563112,0,0,0,,
651451,0,0,0,,
651463,0,0,0,,
651464,0,0,0,,
651465,0,0,0,,
804185,0,0,0,,
804216,0,0,0,,
804217,0,0,0,,
804223,0,0,0,,
804227,0,0,0,,
804232,0,0,0,,
876423,0,0,0,,
876426,0,0,0,,
876432,0,0,0,,
986021,0,0,0,,
986106,0,0,0,,
992325,0,0,0,,
1155571,0,0,0,,
1155578,0,0,0,,
1341415,0,0,0,,
1993,1,7,0.142857143,,
2002,1,7,0.142857143,,
11286,1,6,0.166666667,,
11551,1,8,0.125,,
12050,1,3,0.333333333,,
12074,1,4,0.25,,
12110,1,6,0.166666667,,
74739,1,5,0.2,,
537913,1,4,0.25,,
651481,1,5,0.2,,
677843,1,32,0.03125,,
713059,1,9,0.111111111,,
878397,1,2,0.5,,
987352,1,6,0.166666667,,
2256,2,17,0.117647059,,
2290,2,16,0.125,,
12068,2,8,0.25,,
513781,2,22,0.090909091,,
802858,2,26,0.076923077,,
804191,2,9,0.222222222,,
2258,3,19,0.157894737,,
2271,3,20,0.15,,
2287,3,20,0.15,,
803288,3,19,0.157894737,,
803726,3,31,0.096774194,,
880697,3,19,0.157894737,,
1352644,3,21,0.142857143,,
803727,4,36,0.111111111,,
804591,4,14,0.285714286,,
1243676,4,59,0.06779661,,
384568,5,67,0.074626866,,
563014,5,27,0.185185185,,
803626,5,44,0.113636364,,
880880,6,20,0.3,,
5036,7,36,0.194444444,,
11258,7,28,0.25,,
646716,7,23,0.304347826,,
803244,9,35,0.257142857,,
875193,9,36,0.25,,
1875,10,60,0.166666667,,
804209,10,32,0.3125,,
803738,11,68,0.161764706,,
803792,11,92,0.119565217,,
17107,12,99,0.121212121,,
537934,12,41,0.292682927,,
803293,12,65,0.184615385,,
537961,13,41,0.317073171,,
537970,13,44,0.295454545,,
537976,13,44,0.295454545,,
758372,13,37,0.351351351,,
1503861,13,50,0.26,,
434726,14,118,0.118644068,,
1154468,14,65,0.215384615,,
966504,15,94,0.159574468,,
592559,16,95,0.168421053,,
803788,16,112,0.142857143,,
1341420,16,104,0.153846154,,
1647,17,133,0.127819549,,
537994,17,50,0.34,,
18312,18,71,0.253521127,,
20578,18,199,0.090452261,,
61028,18,152,0.118421053,,
16971,19,88,0.215909091,,
1524097,19,73,0.260273973,,
505264,20,193,0.103626943,,
1151324,20,131,0.152671756,,
386141,21,212,0.099056604,,
1524093,21,76,0.276315789,,
29118,22,91,0.241758242,,
45216,22,182,0.120879121,,
538009,22,68,0.323529412,,
803651,22,152,0.144736842,,
16977,24,105,0.228571429,,
538039,24,94,0.255319149,,
563017,24,146,0.164383562,,
803259,24,96,0.25,,
1525226,24,145,0.165517241,,
505278,25,239,0.10460251,,
538042,25,92,0.27173913,,
592563,25,124,0.201612903,,
385922,26,293,0.088737201,,
538030,26,93,0.279569892,,
538057,26,106,0.245283019,,
538069,26,119,0.218487395,,
329786,28,259,0.108108108,,
538051,28,101,0.277227723,,
538054,28,95,0.294736842,,
803265,28,137,0.204379562,,
